date,equity
2025-02-26,1000000.0
2025-02-27,443631.99999999936
2025-02-28,443631.99999999936
2025-03-03,443631.99999999936
2025-03-04,443631.99999999936
2025-03-05,443631.99999999936
2025-03-06,443631.99999999936
2025-03-07,443631.99999999936
2025-03-10,443631.99999999936
2025-03-11,443631.99999999936
2025-03-12,443631.99999999936
2025-03-13,443631.99999999936
2025-03-14,443631.99999999936
2025-03-17,443631.99999999936
2025-03-18,443631.99999999936
2025-03-19,443631.99999999936
2025-03-20,443631.99999999936
2025-03-21,443631.99999999936
2025-03-24,443631.99999999936
2025-03-25,443631.99999999936
2025-03-26,443631.99999999936
2025-03-27,443631.99999999936
2025-03-28,453631.99999999936
2025-03-31,453631.99999999936
2025-04-01,453631.99999999936
2025-04-02,453631.99999999936
2025-04-03,453631.99999999936
2025-04-04,512731.99999999936
2025-04-07,512731.99999999936
2025-04-08,512731.99999999936
2025-04-09,512731.99999999936
2025-04-10,512731.99999999936
2025-04-11,512731.99999999936
2025-04-14,512731.99999999936
2025-04-15,512731.99999999936
2025-04-16,512731.99999999936
2025-04-17,512731.99999999936
2025-04-18,512731.99999999936
2025-04-21,512731.99999999936
2025-04-22,512731.99999999936
2025-04-23,512731.99999999936
2025-04-24,512731.99999999936
2025-04-25,512731.99999999936
2025-04-28,504241.99999999936
2025-04-29,504241.99999999936
2025-04-30,500841.99999999936
2025-05-01,500841.99999999936
2025-05-02,500841.99999999936
2025-05-05,500841.99999999936
2025-05-06,500841.99999999936
2025-05-07,500841.99999999936
2025-05-08,500841.99999999936
2025-05-09,486185.49999999936
2025-05-12,486185.49999999936
2025-05-13,486185.49999999936
2025-05-14,479185.49999999936
2025-05-15,465325.49999999936
2025-05-16,465325.49999999936
2025-05-19,465325.49999999936
2025-05-20,465325.49999999936
2025-05-21,465325.49999999936
2025-05-22,465325.49999999936
2025-05-23,465325.49999999936
